,Department_UPC,ID_author,Number_articles
19278,Departament d'Enginyeria Electrònica,16269581,9
19364,Departament d'Enginyeria Electrònica,177814,84
19378,Departament d'Enginyeria Electrònica,177869,7
19386,Departament d'Enginyeria Electrònica,177890,10
19391,Departament d'Enginyeria Electrònica,177897,22
19411,Departament d'Enginyeria Electrònica,177968,24
19415,Departament d'Enginyeria Electrònica,177984,10
19461,Departament d'Enginyeria Electrònica,178204,42
19468,Departament d'Enginyeria Electrònica,178226,14
19499,Departament d'Enginyeria Electrònica,178318,8
19516,Departament d'Enginyeria Electrònica,178340,26
19521,Departament d'Enginyeria Electrònica,178350,3
19536,Departament d'Enginyeria Electrònica,178400,16
19548,Departament d'Enginyeria Electrònica,178435,31
19594,Departament d'Enginyeria Electrònica,178557,10
19614,Departament d'Enginyeria Electrònica,178598,9
19661,Departament d'Enginyeria Electrònica,178710,31
19682,Departament d'Enginyeria Electrònica,178865,27
19732,Departament d'Enginyeria Electrònica,179036,12
19780,Departament d'Enginyeria Electrònica,179211,16
19782,Departament d'Enginyeria Electrònica,179213,46
19867,Departament d'Enginyeria Electrònica,179525,74
19868,Departament d'Enginyeria Electrònica,179534,1
19872,Departament d'Enginyeria Electrònica,179540,17
19874,Departament d'Enginyeria Electrònica,179543,11
19878,Departament d'Enginyeria Electrònica,179562,40
19888,Departament d'Enginyeria Electrònica,179589,28
19905,Departament d'Enginyeria Electrònica,179649,11
19924,Departament d'Enginyeria Electrònica,179683,11
19949,Departament d'Enginyeria Electrònica,179761,6
19951,Departament d'Enginyeria Electrònica,179771,22
19956,Departament d'Enginyeria Electrònica,179790,3
19996,Departament d'Enginyeria Electrònica,179889,41
20010,Departament d'Enginyeria Electrònica,179922,11
20011,Departament d'Enginyeria Electrònica,179923,4
20016,Departament d'Enginyeria Electrònica,179945,53
20017,Departament d'Enginyeria Electrònica,179947,18
20018,Departament d'Enginyeria Electrònica,179948,43
20047,Departament d'Enginyeria Electrònica,180018,20
20061,Departament d'Enginyeria Electrònica,180059,19
20062,Departament d'Enginyeria Electrònica,180060,14
20064,Departament d'Enginyeria Electrònica,180067,53
20070,Departament d'Enginyeria Electrònica,180076,21
20074,Departament d'Enginyeria Electrònica,180089,23
20075,Departament d'Enginyeria Electrònica,180090,5
20077,Departament d'Enginyeria Electrònica,180098,4
20080,Departament d'Enginyeria Electrònica,180109,12
20097,Departament d'Enginyeria Electrònica,180145,62
20100,Departament d'Enginyeria Electrònica,180152,46
20131,Departament d'Enginyeria Electrònica,180237,47
20132,Departament d'Enginyeria Electrònica,180238,36
20133,Departament d'Enginyeria Electrònica,180239,30
20134,Departament d'Enginyeria Electrònica,180240,26
20135,Departament d'Enginyeria Electrònica,180241,10
20163,Departament d'Enginyeria Electrònica,180313,6
20164,Departament d'Enginyeria Electrònica,180314,1
20168,Departament d'Enginyeria Electrònica,180323,26
20179,Departament d'Enginyeria Electrònica,180358,12
20180,Departament d'Enginyeria Electrònica,180360,9
20185,Departament d'Enginyeria Electrònica,180378,14
20194,Departament d'Enginyeria Electrònica,180406,67
20203,Departament d'Enginyeria Electrònica,180432,24
20248,Departament d'Enginyeria Electrònica,180573,92
20275,Departament d'Enginyeria Electrònica,180647,6
20320,Departament d'Enginyeria Electrònica,180799,1
20324,Departament d'Enginyeria Electrònica,180813,25
20335,Departament d'Enginyeria Electrònica,180848,126
20336,Departament d'Enginyeria Electrònica,180849,28
20351,Departament d'Enginyeria Electrònica,180919,59
20358,Departament d'Enginyeria Electrònica,180935,4
20429,Departament d'Enginyeria Electrònica,181204,69
20430,Departament d'Enginyeria Electrònica,181205,12
20431,Departament d'Enginyeria Electrònica,181206,3
20480,Departament d'Enginyeria Electrònica,181376,46
20498,Departament d'Enginyeria Electrònica,181441,11
20511,Departament d'Enginyeria Electrònica,181478,35
20521,Departament d'Enginyeria Electrònica,181531,4
20541,Departament d'Enginyeria Electrònica,181597,52
20572,Departament d'Enginyeria Electrònica,181719,1
20579,Departament d'Enginyeria Electrònica,181749,9
20597,Departament d'Enginyeria Electrònica,181819,12
20599,Departament d'Enginyeria Electrònica,181826,5
20608,Departament d'Enginyeria Electrònica,181859,29
20612,Departament d'Enginyeria Electrònica,181882,15
20613,Departament d'Enginyeria Electrònica,181884,20
20623,Departament d'Enginyeria Electrònica,181916,13
20640,Departament d'Enginyeria Electrònica,181969,5
20659,Departament d'Enginyeria Electrònica,182033,24
20668,Departament d'Enginyeria Electrònica,182076,24
20669,Departament d'Enginyeria Electrònica,182080,13
20862,Departament d'Enginyeria Electrònica,182971,27
